id,name,description,best_for,launch_phase,file,tags
launch-type-assessment,Launch Type Assessment,"Launch category classification (new product, major/minor feature, patch, category entry, partnership) and tier decision (Tier 1-3)",Determining launch scope and treatment; deciding between full ORB activation vs scaled approach; clarifying launch questions,planning,launch-type-assessment.md,tier;category;scope;treatment;research
orb-channel-strategy,ORB Channel Strategy,"Owned, Rented, and Borrowed channel model with tactics, timing, owners, and goals for each channel",Planning channel activation; mapping ORB channels; assigning owners and timing to launch tactics,planning,orb-channel-strategy.md,owned;rented;borrowed;channels;tactics;timing
launch-metrics,Launch Metrics and Success Criteria,"Launch day, week 1, month 1 metrics with targets; UTM attribution conventions; real-time monitoring and contingency protocols",Defining success criteria; setting launch targets; tracking metrics during launch; attribution setup,all-phases,launch-metrics.md,metrics;targets;attribution;utm;monitoring;contingency
launch-deliverables,Launch Deliverables and File Structure,"Complete deliverables list with filenames; file organization for campaign and standalone modes; evergreen assets",Saving launch files correctly; organizing deliverables; maintaining evergreen launch assets,all-phases,launch-deliverables.md,deliverables;files;organization;assets;press-kit
pre-launch,Pre-Launch Checklist,"Itemized tasks from T-8 weeks through T-1 day covering strategy lock, alpha/beta gates, content finalization, supporter coordination, and technical readiness",Planning a launch timeline; preparing strategy and messaging; managing alpha/beta gates; coordinating supporters before launch day,pre-launch,frameworks/pre-launch-checklist.md,strategy;messaging;alpha;beta;early-access;timeline;gates
launch-day,Launch Day Checklist,"Minute-by-minute execution plan for a full Tier 1 / Product Hunt launch day with monitoring dashboard",Executing launch day; coordinating real-time activities across channels; monitoring Product Hunt ranking and metrics,launch-day,frameworks/launch-day-checklist.md,execution;product-hunt;monitoring;real-time;coordination
post-launch,Post-Launch Checklist,"Day 1 through Week 4 tasks covering capture, conversion, activation, retention, and performance reporting",Managing post-launch follow-up; driving activation of new signups; measuring launch performance; consolidating learnings,post-launch,frameworks/post-launch-checklist.md,follow-up;activation;retention;reporting;testimonials;case-study
per-channel,Per-Channel Content Checklist,"Content requirements and quality checks for every channel in a Tier 1 launch: email, blog, X/Twitter, LinkedIn, Instagram, Product Hunt, press, and communities",Creating launch content for specific channels; auditing content completeness per channel; quality-checking launch assets,all-phases,frameworks/per-channel-content-checklist.md,email;blog;social;product-hunt;press;communities;content
ongoing-cadence,Ongoing Announcement Cadence,"Repeatable checklists for Tier 2 monthly feature launches, Tier 3 weekly patches, and quarterly major announcements",Planning recurring feature announcements; maintaining launch momentum post-initial launch; deciding launch tier for updates,post-launch,frameworks/ongoing-announcement-cadence.md,tier-2;tier-3;changelog;feature-launch;cadence;recurring
content-templates,Launch Content Templates,"Detailed templates and structures for blog posts, email announcements, social posts per platform, and press releases",Writing launch content from templates; drafting blog posts; emails; social threads; or press releases for a launch,pre-launch,frameworks/launch-content-templates.md,templates;blog;email;social;press-release;copywriting